seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
43,4,final_in_sample_fusion,training,253,0.932806324110672,0.9327896512935883,0.9328021248339973,0.9848768903887015
43,4,final_in_sample_fusion,validation,63,0.873015873015873,0.8734879032258065,0.872983870967742,0.9375
43,5,f1_bp_cssd,training,254,0.6614173228346457,0.6612723214285714,0.661228287841191,0.7256324404761905
43,5,f1_bp_cssd,validation,62,0.7096774193548387,0.7096774193548387,0.7069327731092437,0.7627471383975026
43,5,f2_erd_cssd,training,254,0.8818897637795275,0.8817584325396826,0.8818238213399503,0.9665178571428572
43,5,f2_erd_cssd,validation,62,0.7741935483870968,0.7741935483870968,0.7739583333333333,0.8834547346514048
43,5,f3_bp_trend,training,254,0.8464566929133859,0.8466021825396826,0.8464352705907886,0.9206349206349207
43,5,f3_bp_trend,validation,62,0.7741935483870968,0.7741935483870968,0.7732497387669801,0.8772112382934444
43,5,final_in_sample_fusion,training,254,0.937007874015748,0.9370659722222222,0.937007874015748,0.9900793650793651
43,5,final_in_sample_fusion,validation,62,0.8870967741935484,0.8870967741935484,0.8863576852579209,0.9573361082206036
44,1,f1_bp_cssd,training,252,0.7063492063492064,0.7066456692913385,0.7060529634300126,0.7692598425196849
44,1,f1_bp_cssd,validation,64,0.53125,0.53125,0.5076923076923077,0.548828125
44,1,f2_erd_cssd,training,252,0.9126984126984127,0.9123779527559055,0.9125,0.9723464566929134
44,1,f2_erd_cssd,validation,64,0.734375,0.734375,0.7311588831233011,0.8583984375
