seed,fold_a,fold_b,branch,class_specific_side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
44,1,4,erd,left,0.6678461315378338,0.06189822330674769,37.8971059156897,86.45122445641033
44,1,4,erd,right,0.7388093323813084,0.4150223060571955,38.46597790194767,65.47927879030105
44,1,5,bp,left,0.5541421591437292,0.5541421591437292,56.348350857496634,56.348350857496634
44,1,5,bp,right,0.602589375080921,0.602589375080921,52.94442605687386,52.94442605687386
44,1,5,erd,left,0.7019963713755768,0.24669002670484622,39.13888317596507,75.71826892493416
44,1,5,erd,right,0.47723076532175507,0.015655159546830236,59.198829540935606,89.10298878729897
44,2,3,bp,left,0.7424338894689769,0.7424338894689769,42.0608395961968,42.0608395961968
44,2,3,bp,right,0.10234128146440219,0.10234128146440219,84.12599210527692,84.12599210527692
44,2,3,erd,left,0.7785132499318554,0.4226510952890737,32.27390651510031,64.99792428172205
44,2,3,erd,right,0.7755274526724923,0.5233913825433752,36.36748246917541,58.43998508653691
44,2,4,bp,left,0.6959544881796369,0.6959544881796369,45.89667353889806,45.89667353889806
44,2,4,bp,right,0.15592400979823204,0.15592400979823204,81.02961028714917,81.02961028714917
44,2,4,erd,left,0.8021618837814284,0.5735059424387702,33.67030295607832,55.00493056448354
44,2,4,erd,right,0.7643897850241789,0.5646775294962468,37.52073953642208,55.62009862057032
44,2,5,bp,left,0.6350584844089231,0.6350584844089231,50.575677718792505,50.575677718792505
44,2,5,bp,right,0.3482919566831521,0.3482919566831521,69.61712090944555,69.61712090944555
44,2,5,erd,left,0.8325863754596527,0.6673207249779834,30.382733333079855,48.13938765715162
44,2,5,erd,right,0.5812858212666311,0.2524046709499583,51.83700188099146,75.38014602839786
44,3,4,bp,left,0.9083718677420815,0.9083718677420815,24.718683472496473,24.718683472496473
44,3,4,bp,right,0.04970311304133241,0.04970311304133241,87.15104756356257,87.15104756356257
44,3,4,erd,left,0.6906468625285553,0.11341288680928173,35.62046338770231,83.4879087508407
44,3,4,erd,right,0.5296890819493747,0.006232827355440012,53.17247567410277,89.64288298585238
44,3,5,bp,left,0.4490669537659324,0.4490669537659324,63.316163582260096,63.316163582260096
44,3,5,bp,right,0.30475674611406445,0.30475674611406445,72.25647022664583,72.25647022664583
44,3,5,erd,left,0.6549093804506186,0.03395395717144368,39.248939204987444,88.05420755943081
44,3,5,erd,right,0.5697315526412603,0.184048934564926,51.674596969729066,79.39431173111777
44,4,5,bp,left,0.322968595961394,0.322968595961394,71.15745167511555,71.15745167511555
44,4,5,bp,right,0.6492010917526521,0.6492010917526521,49.51860533537313,49.51860533537313
44,4,5,erd,left,0.928240568788544,0.8438238660825377,20.027885095290998,32.453859023830304
44,4,5,erd,right,0.5810473534146544,0.3407489284294332,53.07691203195361,70.07749060337323
