seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
44,4,f1_bp_cssd,training,253,0.5770750988142292,0.5770528683914511,0.5770486680728069,0.5999875015623046
44,4,f1_bp_cssd,validation,63,0.5714285714285714,0.5705645161290323,0.5696939033645332,0.564516129032258
44,4,f2_erd_cssd,training,253,0.782608695652174,0.78265216847894,0.7825951097570503,0.8450818647669041
44,4,f2_erd_cssd,validation,63,0.5396825396825397,0.5408266129032258,0.537819377687832,0.564516129032258
44,4,f3_bp_trend,training,253,0.7154150197628458,0.7156292963379578,0.7146616541353383,0.7899637545306837
44,4,f3_bp_trend,validation,63,0.6507936507936508,0.6496975806451613,0.648580121703854,0.6733870967741935
44,4,final_in_sample_fusion,training,253,0.8142292490118577,0.8143044619422573,0.8141828012438861,0.8867641544806899
44,4,final_in_sample_fusion,validation,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.6391129032258064
44,5,f1_bp_cssd,training,254,0.6023622047244095,0.6021825396825398,0.6020599686661392,0.6436631944444444
44,5,f1_bp_cssd,validation,62,0.4838709677419355,0.4838709677419355,0.4751322751322751,0.43600416233090533
44,5,f2_erd_cssd,training,254,0.7519685039370079,0.7523561507936508,0.7515024458420685,0.8184523809523809
44,5,f2_erd_cssd,validation,62,0.5,0.5,0.49986989331251624,0.48283038501560877
44,5,f3_bp_trend,training,254,0.7283464566929134,0.7282986111111112,0.7283085556606259,0.7983630952380951
44,5,f3_bp_trend,validation,62,0.5645161290322581,0.564516129032258,0.5634941329856584,0.6108220603537982
44,5,final_in_sample_fusion,training,254,0.8070866141732284,0.8071056547619048,0.8070836239634194,0.8784102182539683
44,5,final_in_sample_fusion,validation,62,0.532258064516129,0.532258064516129,0.532136351808483,0.6024973985431841
