seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
43,3,in_sample,f1_f2_f3,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7360890289371502
43,3,inner_oof,f1,63,0.5079365079365079,0.5070564516129032,0.5059448520111308,0.6976564289866897
43,3,inner_oof,f2,63,0.5714285714285714,0.5720766129032258,0.5709962168978562,0.6907528605182801
43,3,inner_oof,f3,63,0.6666666666666666,0.6668346774193548,0.6666666666666666,0.6633411517312793
43,3,inner_oof,f1_f2,63,0.6507936507936508,0.6507056451612903,0.6507056451612903,0.6940690078645505
43,3,inner_oof,f1_f3,63,0.6666666666666666,0.6668346774193548,0.6666666666666666,0.6618084840430773
43,3,inner_oof,f2_f3,63,0.6031746031746031,0.6038306451612903,0.6027742749054225,0.6640666954359585
43,3,inner_oof,f1_f2_f3,63,0.6825396825396826,0.6829637096774194,0.6824596774193548,0.6608117706124153
43,4,in_sample,f1,63,0.5714285714285714,0.5730846774193548,0.5675057208237986,0.6937588285918052
43,4,in_sample,f2,63,0.5873015873015873,0.5866935483870968,0.5863636363636364,0.7431285033238474
43,4,in_sample,f3,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.6980638908343149
43,4,in_sample,f1_f2,63,0.5714285714285714,0.5705645161290323,0.5696939033645332,0.7427121179208447
43,4,in_sample,f1_f3,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.6977687256227455
43,4,in_sample,f2_f3,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.7179523831178061
43,4,in_sample,f1_f2_f3,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.7173883147668617
43,4,inner_oof,f1,63,0.5396825396825397,0.5403225806451613,0.53921815889029,0.6876113525292976
43,4,inner_oof,f2,63,0.5079365079365079,0.5,0.3368421052631579,0.6928990037990937
43,4,inner_oof,f3,63,0.6031746031746031,0.6028225806451613,0.6027742749054225,0.6494633373742513
