outer_seed,outer_fold,inner_seed,selected_c,c,inner_oof_accuracy,inner_oof_balanced_accuracy,inner_oof_macro_f1,inner_fold_balanced_accuracy_mean,inner_fold_balanced_accuracy_std,inner_training_accuracy_mean
44,1,44001,3.0,1.0,0.6150793650793651,0.6152125984251968,0.615024805102764,0.6158014112903226,0.06700328008293786,0.9166375602125882
44,1,44001,3.0,3.0,0.6309523809523809,0.6311496062992126,0.6308070385481813,0.6321824596774194,0.09474588742250815,0.9722148900620344
44,1,44001,3.0,10.0,0.6071428571428571,0.6072125984251968,0.6071366707084704,0.6079889112903226,0.07335401219961821,0.9986772486772486
44,2,44002,0.3,0.001,0.5198412698412699,0.5202204724409448,0.5189246327879715,0.5197832661290323,0.03417367206957654,0.632241804274279
44,2,44002,0.3,0.003,0.5357142857142857,0.5360944881889764,0.5348279507123361,0.5357862903225806,0.03396394608446088,0.6772230517191323
44,2,44002,0.3,0.01,0.5515873015873016,0.5519685039370079,0.5507312686367007,0.5516633064516129,0.05287856524914267,0.710285317312193
44,2,44002,0.3,0.03,0.5833333333333334,0.5834645669291338,0.5832742735648475,0.5834173387096774,0.05882368134254445,0.7711888320091008
44,2,44002,0.3,0.1,0.5992063492063492,0.5989606299212598,0.5986944799205336,0.5991683467741935,0.053458120046735995,0.8333451092269681
44,2,44002,0.3,0.3,0.6111111111111112,0.6108346456692912,0.6104977603936659,0.611391129032258,0.06328231553114741,0.8968589470129223
44,2,44002,0.3,1.0,0.5793650793650794,0.5790866141732284,0.5787016592013122,0.5795110887096774,0.07308337387602788,0.9444225220261054
44,2,44002,0.3,3.0,0.5714285714285714,0.571275590551181,0.5711854792966533,0.571320564516129,0.07890157738119949,0.9814320819779946
44,2,44002,0.3,10.0,0.5793650793650794,0.5792125984251969,0.579126488939308,0.5792590725806451,0.0919453714721057,0.9986702127659575
44,3,44003,0.3,0.001,0.5454545454545454,0.5456505436820398,0.5444296563062712,0.5452368951612903,0.07329973341636667,0.6324230442307048
44,3,44003,0.3,0.003,0.5612648221343873,0.561429821272341,0.5605783223020232,0.5613659274193548,0.027274852344273563,0.6759212603935668
44,3,44003,0.3,0.01,0.5533596837944664,0.5534620672415949,0.5531083425820269,0.5534274193548387,0.007234223837906922,0.7233529941782905
