variant,seed,fold_a,fold_b,branch,side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
covariance_ledoit_wolf,42,1,3,bp,left,0.6861177408733561,0.6861177408733561,46.67642534398763,46.67642534398763
covariance_ledoit_wolf,42,1,3,bp,right,0.7034856790692853,0.7034856790692853,45.29266616532802,45.29266616532802
covariance_ledoit_wolf,42,1,3,erd,left,0.8408964908520024,0.5972606497986062,28.20783300861069,53.32604296298067
covariance_ledoit_wolf,42,1,3,erd,right,0.745981099850694,0.4231872009600344,37.96483742628245,64.96402702128029
covariance_ledoit_wolf,42,1,4,bp,left,0.8145188788065955,0.8145188788065955,35.460182539554495,35.460182539554495
covariance_ledoit_wolf,42,1,4,bp,right,0.7604931399777412,0.7604931399777412,40.492308674261785,40.492308674261785
covariance_ledoit_wolf,42,1,4,erd,left,0.6040306306624489,0.20746187013000392,47.35315081468321,78.02634732051898
covariance_ledoit_wolf,42,1,4,erd,right,0.553071574404714,0.14893389302422183,53.277909840989345,81.43485083732538
covariance_ledoit_wolf,42,1,5,bp,left,0.6328036416460401,0.6328036416460401,50.74272563216147,50.74272563216147
covariance_ledoit_wolf,42,1,5,bp,right,0.24240490271417744,0.24240490271417744,75.97147674969179,75.97147674969179
covariance_ledoit_wolf,42,1,5,erd,left,0.7940246558788386,0.6394715838475844,33.930017975955316,50.247571885022914
covariance_ledoit_wolf,42,1,5,erd,right,0.44511115410332697,0.057036403683678384,60.88050471000955,86.73028033804621
covariance_ledoit_wolf,42,2,3,bp,left,0.6784597317753065,0.6784597317753065,47.27660201416124,47.27660201416124
covariance_ledoit_wolf,42,2,3,bp,right,0.8495053877959696,0.8495053877959696,31.84208667571304,31.84208667571304
covariance_ledoit_wolf,42,2,3,erd,left,0.6262812803879211,0.04793554233385831,44.659036072930654,87.2524428194947
covariance_ledoit_wolf,42,2,3,erd,right,0.7449250570159726,0.5003978669784502,38.70469134260626,59.973673839763386
covariance_ledoit_wolf,42,2,4,bp,left,0.790013737382539,0.790013737382539,37.813204707907154,37.813204707907154
covariance_ledoit_wolf,42,2,4,bp,right,0.6467601637169431,0.6467601637169431,49.702224862329274,49.702224862329274
covariance_ledoit_wolf,42,2,4,erd,left,0.6909036262414143,0.3156653927561789,41.25396560481336,71.59901238780844
covariance_ledoit_wolf,42,2,4,erd,right,0.4821089640606389,0.10898303350908883,58.96321647904356,83.74330476236288
covariance_ledoit_wolf,42,2,5,bp,left,0.6530268865715412,0.6530268865715412,49.229793174759116,49.229793174759116
covariance_ledoit_wolf,42,2,5,bp,right,0.5037114072645433,0.5037114072645433,59.75414998994918,59.75414998994918
covariance_ledoit_wolf,42,2,5,erd,left,0.6728800420565927,0.16809540660829989,41.37190523968163,80.32289960209351
covariance_ledoit_wolf,42,2,5,erd,right,0.695803080108654,0.46119826121044327,42.08784193626824,62.53554382692254
