variant,family,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,bp_condition_number,erd_condition_number,bp_left_shrinkage,bp_right_shrinkage,erd_left_shrinkage,erd_right_shrinkage,f1_features,f2_features,f3_features,elapsed_seconds
baseline,reference,44,4,253,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.7432634741028258,1229.792042380752,59.70308015660822,,,,,8,24,38,0.012831792002543807
covariance_ridge_1e3,covariance,44,4,253,63,0.5555555555555556,0.5554435483870968,0.5554435483870968,0.7420875221393323,1165.1893985904064,59.06566556280148,,,,,8,24,38,0.012362667010165751
covariance_ledoit_wolf,covariance,44,4,253,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.7315669102318391,1143.333654267943,54.6319927210895,0.0015423270281227706,0.0011812532699499677,0.009227774064326556,0.007862562788267786,8,24,38,0.01351787499152124
covariance_oas,covariance,44,4,253,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.7306782002263297,945.9673871215715,55.85959357215464,0.005499023596810605,0.0052675939686033435,0.006997561469728077,0.005695843658208238,8,24,38,0.01326141704339534
trial_trace_normalized,trial_normalization,44,4,253,63,0.6190476190476191,0.6184475806451613,0.6181818181818182,0.7292752926767314,1233.730126366233,62.786011361736755,,,,,8,24,38,0.01290379196871072
f2_components_2,f2_reduction,44,4,253,63,0.5873015873015873,0.5861895161290323,0.584685598377282,0.699187933139605,1229.792042380752,59.70308015660822,,,,,8,16,38,0.011394792003557086
f2_components_1,f2_reduction,44,4,253,63,0.5873015873015873,0.5866935483870968,0.5863636363636364,0.6731627946370905,1229.792042380752,59.70308015660822,,,,,8,8,38,0.011019292054697871
fusion_hard_vote,voting,44,4,253,63,0.6349206349206349,0.6345766129032258,0.6345523329129887,2.486653804270015,1229.792042380752,59.70308015660822,,,,,8,24,38,0.01354645797982812
fusion_soft_vote,voting,44,4,253,63,0.6507936507936508,0.6502016129032258,0.6499999999999999,0.6541846408119599,1229.792042380752,59.70308015660822,,,,,8,24,38,0.016713624936528504
baseline,reference,44,5,254,62,0.532258064516129,0.532258064516129,0.532136351808483,0.7989885369634823,1258.470153511678,55.89224588523091,,,,,8,24,38,0.013480749912559986
covariance_ridge_1e3,covariance,44,5,254,62,0.5483870967741935,0.5483870967741935,0.5479166666666666,0.8005799460828754,1190.9164009831704,55.32428877067941,,,,,8,24,38,0.012288249912671745
covariance_ledoit_wolf,covariance,44,5,254,62,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.8112587950141624,1168.860626550383,51.41903443304837,0.0014276618993265895,0.0012718238944241572,0.008828113822422184,0.00801031160495702,8,24,38,0.014045750023797154
covariance_oas,covariance,44,5,254,62,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.8097175053058773,963.8601347179407,52.4351665427979,0.005382802558504468,0.005338499102084584,0.006985256503878622,0.005803321220817108,8,24,38,0.01436516607645899
trial_trace_normalized,trial_normalization,44,5,254,62,0.5967741935483871,0.596774193548387,0.5958279009126467,0.8053195278837636,1241.6934405201475,58.48645800017003,,,,,8,24,38,0.013342542108148336
f2_components_2,f2_reduction,44,5,254,62,0.6129032258064516,0.6129032258064516,0.6125,0.7583222064842262,1258.470153511678,55.89224588523091,,,,,8,16,38,0.011057417024858296
f2_components_1,f2_reduction,44,5,254,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.7928332693370362,1258.470153511678,55.89224588523091,,,,,8,8,38,0.011106332996860147
fusion_hard_vote,voting,44,5,254,62,0.5645161290322581,0.564516129032258,0.5634941329856584,2.896646814648675,1258.470153511678,55.89224588523091,,,,,8,24,38,0.011181333917193115
fusion_soft_vote,voting,44,5,254,62,0.5806451612903226,0.5806451612903225,0.5766806722689075,0.7088708201896684,1258.470153511678,55.89224588523091,,,,,8,24,38,0.011433999985456467
