c,seed,fold,training_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
1.25,43,1,252,64,0.9087301587301587,0.625,0.625,0.6235294117647059,"[[18, 14], [10, 22]]"
1.5,43,1,252,64,0.9166666666666666,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
2.0,43,1,252,64,0.9206349206349206,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
2.5,43,1,252,64,0.9285714285714286,0.59375,0.59375,0.5921568627450979,"[[17, 15], [11, 21]]"
3.0,43,1,252,64,0.9365079365079365,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
4.0,43,1,252,64,0.9444444444444444,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
5.0,43,1,252,64,0.9523809523809523,0.609375,0.609375,0.6085148030340103,"[[18, 14], [11, 21]]"
1.0,43,2,252,64,0.9246031746031746,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
1.25,43,2,252,64,0.9365079365079365,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
1.5,43,2,252,64,0.9484126984126984,0.65625,0.65625,0.6532019704433498,"[[18, 14], [8, 24]]"
2.0,43,2,252,64,0.9484126984126984,0.65625,0.65625,0.6532019704433498,"[[18, 14], [8, 24]]"
2.5,43,2,252,64,0.9523809523809523,0.65625,0.65625,0.6532019704433498,"[[18, 14], [8, 24]]"
3.0,43,2,252,64,0.9563492063492064,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
4.0,43,2,252,64,0.9642857142857143,0.65625,0.65625,0.6532019704433498,"[[18, 14], [8, 24]]"
5.0,43,2,252,64,0.9722222222222222,0.65625,0.65625,0.6532019704433498,"[[18, 14], [8, 24]]"
1.0,43,3,253,63,0.8695652173913043,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
1.25,43,3,253,63,0.8893280632411067,0.7142857142857143,0.7152217741935484,0.7136363636363636,"[[21, 11], [7, 24]]"
1.5,43,3,253,63,0.8893280632411067,0.7142857142857143,0.7152217741935484,0.7136363636363636,"[[21, 11], [7, 24]]"
2.0,43,3,253,63,0.9011857707509882,0.7301587301587301,0.7308467741935484,0.7298865069356872,"[[22, 10], [7, 24]]"
2.5,43,3,253,63,0.9169960474308301,0.7301587301587301,0.7308467741935484,0.7298865069356872,"[[22, 10], [7, 24]]"
3.0,43,3,253,63,0.924901185770751,0.7301587301587301,0.7308467741935484,0.7298865069356872,"[[22, 10], [7, 24]]"
4.0,43,3,253,63,0.9367588932806324,0.6984126984126984,0.6990927419354839,0.6981084489281211,"[[21, 11], [8, 23]]"
5.0,43,3,253,63,0.9486166007905138,0.6984126984126984,0.6990927419354839,0.6981084489281211,"[[21, 11], [8, 23]]"
1.0,43,4,253,63,0.9130434782608695,0.5555555555555556,0.5554435483870968,0.5554435483870968,"[[18, 14], [14, 17]]"
1.25,43,4,253,63,0.9209486166007905,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
