outer_seed,outer_fold,inner_seed,inner_fold,c,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
42,3,42003,2,0.001,0.5873015873015873,0.640625,0.640625,0.6384180790960452,"[[18, 14], [9, 23]]"
42,3,42003,3,0.001,0.6157894736842106,0.4603174603174603,0.4627016129032258,0.44907407407407407,"[[10, 22], [12, 19]]"
42,3,42003,4,0.001,0.5863874345549738,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]"
42,3,42003,1,0.003,0.6402116402116402,0.546875,0.546875,0.5440923605993613,"[[15, 17], [12, 20]]"
42,3,42003,2,0.003,0.6190476190476191,0.703125,0.703125,0.6995305164319249,"[[19, 13], [6, 26]]"
42,3,42003,3,0.003,0.6421052631578947,0.47619047619047616,0.4783266129032258,0.46760563380281694,"[[11, 21], [12, 19]]"
42,3,42003,4,0.003,0.6387434554973822,0.5806451612903226,0.5806451612903225,0.5802083333333332,"[[19, 12], [14, 17]]"
42,3,42003,1,0.01,0.7142857142857143,0.578125,0.578125,0.577195987276731,"[[17, 15], [12, 20]]"
42,3,42003,2,0.01,0.6825396825396826,0.65625,0.65625,0.6476476476476476,"[[16, 16], [6, 26]]"
42,3,42003,3,0.01,0.6894736842105263,0.49206349206349204,0.4934475806451613,0.48884381338742394,"[[13, 19], [13, 18]]"
42,3,42003,4,0.01,0.6910994764397905,0.5645161290322581,0.564516129032258,0.5616653574234092,"[[20, 11], [16, 15]]"
42,3,42003,1,0.03,0.7671957671957672,0.5625,0.5625,0.5620723362658846,"[[19, 13], [15, 17]]"
42,3,42003,2,0.03,0.746031746031746,0.640625,0.640625,0.6333748443337484,"[[16, 16], [7, 25]]"
42,3,42003,3,0.03,0.7368421052631579,0.5555555555555556,0.5564516129032258,0.5545454545454545,"[[16, 16], [12, 19]]"
42,3,42003,4,0.03,0.7643979057591623,0.5806451612903226,0.5806451612903225,0.5802083333333332,"[[19, 12], [14, 17]]"
42,3,42003,1,0.1,0.8201058201058201,0.53125,0.53125,0.5307917888563051,"[[18, 14], [16, 16]]"
42,3,42003,2,0.1,0.7883597883597884,0.640625,0.640625,0.6362737830491723,"[[17, 15], [8, 24]]"
42,3,42003,3,0.1,0.8421052631578947,0.6031746031746031,0.6023185483870968,0.6015684290412344,"[[21, 11], [14, 17]]"
42,3,42003,4,0.1,0.8219895287958116,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
42,3,42003,1,0.3,0.873015873015873,0.53125,0.53125,0.5294117647058825,"[[19, 13], [17, 15]]"
42,3,42003,2,0.3,0.8359788359788359,0.640625,0.640625,0.6296855345911949,"[[15, 17], [6, 26]]"
42,3,42003,3,0.3,0.8894736842105263,0.6031746031746031,0.6023185483870968,0.6015684290412344,"[[21, 11], [14, 17]]"
42,3,42003,4,0.3,0.8952879581151832,0.6451612903225806,0.6451612903225806,0.6447916666666667,"[[19, 12], [10, 21]]"
42,3,42003,1,1.0,0.91005291005291,0.578125,0.578125,0.5755342667649226,"[[21, 11], [16, 16]]"
42,3,42003,2,1.0,0.9047619047619048,0.640625,0.640625,0.6296855345911949,"[[15, 17], [6, 26]]"
42,3,42003,3,1.0,0.9315789473684211,0.6349206349206349,0.6345766129032258,0.6345523329129887,"[[21, 11], [12, 19]]"
42,3,42003,4,1.0,0.9476439790575916,0.6290322580645161,0.6290322580645161,0.628161668839635,"[[18, 13], [10, 21]]"
42,3,42003,1,3.0,0.9682539682539683,0.578125,0.578125,0.5755342667649226,"[[21, 11], [16, 16]]"
42,3,42003,2,3.0,0.9629629629629629,0.65625,0.65625,0.6437246963562753,"[[15, 17], [5, 27]]"
42,3,42003,3,3.0,0.9842105263157894,0.6190476190476191,0.6184475806451613,0.6181818181818182,"[[21, 11], [13, 18]]"
42,3,42003,4,3.0,0.9895287958115183,0.6129032258064516,0.6129032258064516,0.6125,"[[18, 13], [11, 20]]"
42,3,42003,1,10.0,1.0,0.5625,0.5625,0.5586206896551724,"[[21, 11], [17, 15]]"
42,3,42003,2,10.0,1.0,0.609375,0.609375,0.5974842767295597,"[[14, 18], [7, 25]]"
42,3,42003,3,10.0,1.0,0.6031746031746031,0.6023185483870968,0.6015684290412344,"[[21, 11], [14, 17]]"
42,3,42003,4,10.0,1.0,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[17, 14], [13, 18]]"
42,4,42004,1,0.001,0.6349206349206349,0.578125,0.578125,0.5755342667649226,"[[16, 16], [11, 21]]"
42,4,42004,2,0.001,0.6243386243386243,0.53125,0.53125,0.5294117647058825,"[[15, 17], [13, 19]]"
42,4,42004,3,0.001,0.631578947368421,0.5873015873015873,0.5877016129032258,0.5871975806451613,"[[18, 14], [12, 19]]"
42,4,42004,4,0.001,0.612565445026178,0.6129032258064516,0.6129032258064516,0.6129032258064516,"[[19, 12], [12, 19]]"
42,4,42004,1,0.003,0.6666666666666666,0.5625,0.5625,0.5607843137254902,"[[16, 16], [12, 20]]"
42,4,42004,2,0.003,0.6666666666666666,0.515625,0.515625,0.5097603162836669,"[[13, 19], [12, 20]]"
42,4,42004,3,0.003,0.6842105263157895,0.5714285714285714,0.5720766129032258,0.5709962168978562,"[[17, 15], [12, 19]]"
42,4,42004,4,0.003,0.6335078534031413,0.5806451612903226,0.5806451612903226,0.5806451612903226,"[[18, 13], [13, 18]]"
42,4,42004,1,0.01,0.7195767195767195,0.5625,0.5625,0.5620723362658846,"[[17, 15], [13, 19]]"
42,4,42004,2,0.01,0.7407407407407407,0.515625,0.515625,0.5097603162836669,"[[13, 19], [12, 20]]"
42,4,42004,3,0.01,0.7263157894736842,0.5873015873015873,0.5877016129032258,0.5871975806451613,"[[18, 14], [12, 19]]"
42,4,42004,4,0.01,0.7225130890052356,0.6129032258064516,0.6129032258064516,0.6129032258064516,"[[19, 12], [12, 19]]"
42,4,42004,1,0.03,0.7619047619047619,0.609375,0.609375,0.6092796092796093,"[[19, 13], [12, 20]]"
42,4,42004,2,0.03,0.7724867724867724,0.5625,0.5625,0.5555555555555556,"[[14, 18], [10, 22]]"
42,4,42004,3,0.03,0.7789473684210526,0.6031746031746031,0.6038306451612903,0.6027742749054226,"[[18, 14], [11, 20]]"
42,4,42004,4,0.03,0.7696335078534031,0.6290322580645161,0.6290322580645161,0.628161668839635,"[[21, 10], [13, 18]]"
42,4,42004,1,0.1,0.8306878306878307,0.625,0.625,0.624633431085044,"[[21, 11], [13, 19]]"
42,4,42004,2,0.1,0.8095238095238095,0.546875,0.546875,0.5330817610062892,"[[12, 20], [9, 23]]"
42,4,42004,3,0.1,0.8473684210526315,0.5714285714285714,0.5720766129032258,0.5709962168978562,"[[17, 15], [12, 19]]"
42,4,42004,4,0.1,0.8481675392670157,0.6129032258064516,0.6129032258064516,0.6129032258064516,"[[19, 12], [12, 19]]"
42,4,42004,1,0.3,0.8518518518518519,0.609375,0.609375,0.6092796092796093,"[[19, 13], [12, 20]]"
42,4,42004,2,0.3,0.873015873015873,0.5625,0.5625,0.5555555555555556,"[[14, 18], [10, 22]]"
42,4,42004,3,0.3,0.9157894736842105,0.6190476190476191,0.6194556451612903,0.6189516129032258,"[[19, 13], [11, 20]]"
42,4,42004,4,0.3,0.8900523560209425,0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]"
42,4,42004,1,1.0,0.9206349206349206,0.578125,0.578125,0.577195987276731,"[[17, 15], [12, 20]]"
42,4,42004,2,1.0,0.9523809523809523,0.578125,0.578125,0.5696139476961395,"[[14, 18], [9, 23]]"
42,4,42004,3,1.0,0.9473684210526315,0.6031746031746031,0.6033266129032258,0.6031746031746031,"[[19, 13], [12, 19]]"
