pipeline,representation,classifier,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,fit_seconds,accuracy,balanced_accuracy,macro_f1,confusion_matrix
current__logistic,current,logistic,43,4,253,63,196,0.9130434782608695,0.008752666995860636,0.5555555555555556,0.5554435483870968,0.5554435483870968,"[[18, 14], [14, 17]]"
current__fisher,current,fisher,43,4,253,63,196,0.8102766798418972,0.004905458074063063,0.6349206349206349,0.6365927419354839,0.631578947368421,"[[17, 15], [8, 23]]"
terminal__logistic,terminal,logistic,43,4,253,63,252,0.7984189723320159,0.008702542050741613,0.7619047619047619,0.7631048387096775,0.7609410574247406,"[[22, 10], [5, 26]]"
terminal__fisher,terminal,fisher,43,4,253,63,252,0.782608695652174,0.0069417080376297235,0.7301587301587301,0.7318548387096775,0.7276887871853548,"[[20, 12], [5, 26]]"
combined__logistic,combined,logistic,43,4,253,63,448,0.9723320158102767,0.021798208937980235,0.6190476190476191,0.6204637096774194,0.6166328600405679,"[[17, 15], [9, 22]]"
combined__fisher,combined,fisher,43,4,253,63,448,0.8972332015810277,0.017679749988019466,0.6031746031746031,0.6038306451612903,0.6027742749054226,"[[18, 14], [11, 20]]"
fourier_pca__logistic,fourier_pca,logistic,43,4,253,63,20,0.6679841897233202,0.00048229191452264786,0.5238095238095238,0.5226814516129032,0.52079107505071,"[[19, 13], [17, 14]]"
fourier_pca__fisher,fourier_pca,fisher,43,4,253,63,20,0.6640316205533597,0.0012082079192623496,0.5238095238095238,0.5226814516129032,0.52079107505071,"[[19, 13], [17, 14]]"
current__logistic,current,logistic,43,5,254,62,196,0.9173228346456693,0.008939124993048608,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[19, 12], [11, 20]]"
current__fisher,current,fisher,43,5,254,62,196,0.7952755905511811,0.004966457956470549,0.5645161290322581,0.564516129032258,0.5634941329856584,"[[16, 15], [12, 19]]"
terminal__logistic,terminal,logistic,43,5,254,62,252,0.7913385826771654,0.00915662501938641,0.6935483870967742,0.6935483870967742,0.6934686442883163,"[[21, 10], [9, 22]]"
terminal__fisher,terminal,fisher,43,5,254,62,252,0.7755905511811023,0.0067515840055420995,0.7258064516129032,0.7258064516129032,0.7251629726205998,"[[21, 10], [7, 24]]"
combined__logistic,combined,logistic,43,5,254,62,448,0.9724409448818898,0.02264362503774464,0.6290322580645161,0.6290322580645161,0.628161668839635,"[[18, 13], [10, 21]]"
combined__fisher,combined,fisher,43,5,254,62,448,0.9173228346456693,0.01724837499205023,0.6290322580645161,0.6290322580645161,0.6289357272963831,"[[20, 11], [12, 19]]"
fourier_pca__logistic,fourier_pca,logistic,43,5,254,62,20,0.65748031496063,0.00043537491001188755,0.5161290322580645,0.5161290322580645,0.5141065830721003,"[[14, 17], [13, 18]]"
fourier_pca__fisher,fourier_pca,fisher,43,5,254,62,20,0.6535433070866141,0.0011719580506905913,0.532258064516129,0.532258064516129,0.5291961246399581,"[[14, 17], [12, 19]]"
current__logistic,current,logistic,44,1,252,64,196,0.9087301587301587,0.009238500031642616,0.6875,0.6875,0.6871945259042034,"[[21, 11], [9, 23]]"
current__fisher,current,fisher,44,1,252,64,196,0.8015873015873016,0.0048864169511944056,0.6875,0.6875,0.6825396825396826,"[[18, 14], [6, 26]]"
terminal__logistic,terminal,logistic,44,1,252,64,252,0.8015873015873016,0.0084509999724105,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
terminal__fisher,terminal,fisher,44,1,252,64,252,0.7738095238095238,0.007389458012767136,0.6875,0.6875,0.6862745098039216,"[[20, 12], [8, 24]]"
combined__logistic,combined,logistic,44,1,252,64,448,0.9642857142857143,0.023552375030703843,0.75,0.75,0.7497556207233627,"[[23, 9], [7, 25]]"
combined__fisher,combined,fisher,44,1,252,64,448,0.9166666666666666,0.017207417055033147,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
fourier_pca__logistic,fourier_pca,logistic,44,1,252,64,20,0.626984126984127,0.0004570829914882779,0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]"
fourier_pca__fisher,fourier_pca,fisher,44,1,252,64,20,0.6309523809523809,0.0011711659608408809,0.671875,0.671875,0.6711524345485687,"[[20, 12], [9, 23]]"
current__logistic,current,logistic,44,2,252,64,196,0.8928571428571429,0.009317499934695661,0.703125,0.703125,0.7013018914271678,"[[20, 12], [7, 25]]"
current__fisher,current,fisher,44,2,252,64,196,0.8015873015873016,0.0049585000379011035,0.578125,0.578125,0.5780219780219781,"[[18, 14], [13, 19]]"
terminal__logistic,terminal,logistic,44,2,252,64,252,0.8134920634920635,0.008235624991357327,0.65625,0.65625,0.6559139784946237,"[[22, 10], [12, 20]]"
terminal__fisher,terminal,fisher,44,2,252,64,252,0.7976190476190477,0.007256333949044347,0.671875,0.671875,0.6717948717948719,"[[22, 10], [11, 21]]"
combined__logistic,combined,logistic,44,2,252,64,448,0.9761904761904762,0.023346540983766317,0.703125,0.703125,0.703052503052503,"[[22, 10], [9, 23]]"
combined__fisher,combined,fisher,44,2,252,64,448,0.9206349206349206,0.017474083928391337,0.671875,0.671875,0.6711524345485687,"[[23, 9], [12, 20]]"
