seed,fold,bin_ms,window_ms,samples_per_bin,bins_per_window,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,model_fit_seconds
44,4,50,500,5,10,253,63,0.7777777777777778,0.7762096774193548,0.775,0.4162340099675268,0.011787916999310255
44,4,100,500,10,5,253,63,0.7777777777777778,0.7762096774193548,0.775,0.4162340099675268,0.011787916999310255
44,5,10,200,1,20,254,62,0.8870967741935484,0.8870967741935484,0.8870673952641166,0.35977857884013276,0.00978120812214911
44,5,20,200,2,10,254,62,0.8870967741935484,0.8870967741935484,0.8870673952641166,0.35977857884013276,0.00978120812214911
44,5,50,200,5,4,254,62,0.8870967741935484,0.8870967741935484,0.8870673952641166,0.35977857884013276,0.00978120812214911
44,5,100,200,10,2,254,62,0.8870967741935484,0.8870967741935484,0.8870673952641166,0.35977857884013276,0.00978120812214911
44,5,10,300,1,30,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.3707152725366258,0.011308874934911728
44,5,20,300,2,15,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.3707152725366258,0.011308874934911728
44,5,50,300,5,6,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.3707152725366258,0.011308874934911728
44,5,100,300,10,3,254,62,0.8064516129032258,0.8064516129032258,0.80625,0.3707152725366258,0.011308874934911728
44,5,10,400,1,40,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.2791514780610837,0.01148208393715322
44,5,20,400,2,20,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.2791514780610837,0.01148208393715322
44,5,50,400,5,8,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.2791514780610837,0.01148208393715322
44,5,100,400,10,4,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.2791514780610837,0.01148208393715322
44,5,10,500,1,50,254,62,0.9032258064516129,0.9032258064516129,0.9023109243697479,0.25493880657659124,0.011219209060072899
44,5,20,500,2,25,254,62,0.9032258064516129,0.9032258064516129,0.9023109243697479,0.25493880657659124,0.011219209060072899
44,5,50,500,5,10,254,62,0.9032258064516129,0.9032258064516129,0.9023109243697479,0.25493880657659124,0.011219209060072899
44,5,100,500,10,5,254,62,0.9032258064516129,0.9032258064516129,0.9023109243697479,0.25493880657659124,0.011219209060072899
