subset,groups,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
ABC,A+B+C,44,2,252,64,252,0.8134920634920635,0.65625,0.65625,0.6559139784946237,"[[22, 10], [12, 20]]"
none,none,44,3,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,44,3,253,63,140,0.7391304347826086,0.6666666666666666,0.6663306451612903,0.6663303909205549,"[[22, 10], [11, 20]]"
B,B,44,3,253,63,84,0.7272727272727273,0.6190476190476191,0.6194556451612903,0.6189516129032258,"[[19, 13], [11, 20]]"
C,C,44,3,253,63,28,0.6837944664031621,0.6507936507936508,0.6522177419354839,0.6485801217038539,"[[18, 14], [8, 23]]"
AB,A+B,44,3,253,63,224,0.766798418972332,0.6666666666666666,0.6663306451612903,0.6663303909205549,"[[22, 10], [11, 20]]"
AC,A+C,44,3,253,63,168,0.7905138339920948,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
BC,B+C,44,3,253,63,112,0.7747035573122529,0.6507936507936508,0.6522177419354839,0.6485801217038539,"[[18, 14], [8, 23]]"
ABC,A+B+C,44,3,253,63,252,0.8142292490118577,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
none,none,44,4,253,63,0,0.5019762845849802,0.5079365079365079,0.5,0.3368421052631579,"[[32, 0], [31, 0]]"
A,A,44,4,253,63,140,0.7430830039525692,0.6349206349206349,0.6335685483870968,0.6315789473684211,"[[23, 9], [14, 17]]"
B,B,44,4,253,63,84,0.7430830039525692,0.6349206349206349,0.6335685483870968,0.6315789473684211,"[[23, 9], [14, 17]]"
C,C,44,4,253,63,28,0.7114624505928854,0.6031746031746031,0.6013104838709677,0.5966709346991037,"[[23, 9], [16, 15]]"
AB,A+B,44,4,253,63,224,0.7747035573122529,0.6507936507936508,0.6496975806451613,0.6485801217038539,"[[23, 9], [13, 18]]"
AC,A+C,44,4,253,63,168,0.8260869565217391,0.6507936507936508,0.6481854838709677,0.6398128898128898,"[[26, 6], [16, 15]]"
BC,B+C,44,4,253,63,112,0.7984189723320159,0.6666666666666666,0.6643145161290323,0.658051176014474,"[[26, 6], [15, 16]]"
ABC,A+B+C,44,4,253,63,252,0.83399209486166,0.6507936507936508,0.6481854838709677,0.6398128898128898,"[[26, 6], [16, 15]]"
none,none,44,5,254,62,0,0.5039370078740157,0.5,0.5,0.3333333333333333,"[[31, 0], [31, 0]]"
A,A,44,5,254,62,140,0.7362204724409449,0.6935483870967742,0.6935483870967742,0.6934686442883163,"[[21, 10], [9, 22]]"
B,B,44,5,254,62,84,0.7204724409448819,0.6774193548387096,0.6774193548387097,0.6760710553814002,"[[19, 12], [8, 23]]"
C,C,44,5,254,62,28,0.6929133858267716,0.6612903225806451,0.6612903225806452,0.6604954367666231,"[[22, 9], [12, 19]]"
AB,A+B,44,5,254,62,224,0.7677165354330708,0.6774193548387096,0.6774193548387096,0.6774193548387096,"[[21, 10], [10, 21]]"
AC,A+C,44,5,254,62,168,0.8070866141732284,0.7419354838709677,0.7419354838709677,0.7416666666666667,"[[22, 9], [7, 24]]"
BC,B+C,44,5,254,62,112,0.7637795275590551,0.7258064516129032,0.7258064516129032,0.7257351027842831,"[[22, 9], [8, 23]]"
ABC,A+B+C,44,5,254,62,252,0.8031496062992126,0.7258064516129032,0.7258064516129032,0.7251629726205998,"[[21, 10], [7, 24]]"
