variant,hidden_components,covariance_shrinkage,session,held_month,decision,diagnostic_decision,hidden_state_kld_to_severe,output_state_kld_to_severe
hidden_3_shrinkage_0.05,3,0.05,indy_20161027_03,2016-10,pass,pass,0.0338047963109486,0.00901552131689296
hidden_3_shrinkage_0.10,3,0.1,indy_20161005_06,2016-10,pass,pass,0.023396092063688447,0.018240881683067457
hidden_3_shrinkage_0.10,3,0.1,indy_20161006_02,2016-10,pass,warning,0.021122431055771357,0.018027085352086743
hidden_3_shrinkage_0.10,3,0.1,indy_20161007_02,2016-10,pass,pass,0.055135851874576335,0.0435769276481284
hidden_3_shrinkage_0.10,3,0.1,indy_20161011_03,2016-10,pass,pass,0.09036234898521746,0.11230131728449275
hidden_3_shrinkage_0.10,3,0.1,indy_20161013_03,2016-10,abstain,abstain,1.9788133710102955,1.5604017935942793
hidden_3_shrinkage_0.10,3,0.1,indy_20161014_04,2016-10,pass,pass,0.03518828674722568,0.02565080050694481
hidden_3_shrinkage_0.10,3,0.1,indy_20161017_02,2016-10,pass,pass,0.04807886070647515,0.01720955487378972
hidden_3_shrinkage_0.10,3,0.1,indy_20161024_03,2016-10,pass,pass,0.07409519164385564,0.05576497980482771
hidden_3_shrinkage_0.10,3,0.1,indy_20161025_04,2016-10,pass,pass,0.01559243743889401,0.009201395060985208
hidden_3_shrinkage_0.10,3,0.1,indy_20161026_03,2016-10,pass,pass,0.025104622562156894,0.015057407895385563
hidden_3_shrinkage_0.10,3,0.1,indy_20161027_03,2016-10,pass,pass,0.031203557350601645,0.009092090660499789
hidden_3_shrinkage_0.20,3,0.2,indy_20161005_06,2016-10,pass,pass,0.020703620428038524,0.015106491501420826
hidden_3_shrinkage_0.20,3,0.2,indy_20161006_02,2016-10,pass,warning,0.018274104711246627,0.015438084209613154
hidden_3_shrinkage_0.20,3,0.2,indy_20161007_02,2016-10,pass,pass,0.04788550357023643,0.04296073472381251
hidden_3_shrinkage_0.20,3,0.2,indy_20161011_03,2016-10,pass,warning,0.08821797108544001,0.11405874514846032
hidden_3_shrinkage_0.20,3,0.2,indy_20161013_03,2016-10,abstain,abstain,1.799194415462046,1.533105903385927
hidden_3_shrinkage_0.20,3,0.2,indy_20161014_04,2016-10,pass,pass,0.03342313489066652,0.02522081765303736
hidden_3_shrinkage_0.20,3,0.2,indy_20161017_02,2016-10,pass,pass,0.04392557636372664,0.01725081578678264
hidden_3_shrinkage_0.20,3,0.2,indy_20161024_03,2016-10,pass,pass,0.06923965321169237,0.056378503441652864
hidden_3_shrinkage_0.20,3,0.2,indy_20161025_04,2016-10,pass,pass,0.014565202298470914,0.009031631063340683
hidden_3_shrinkage_0.20,3,0.2,indy_20161026_03,2016-10,pass,pass,0.02402203807375167,0.015140732432627995
hidden_3_shrinkage_0.20,3,0.2,indy_20161027_03,2016-10,pass,pass,0.026461092666892956,0.009234419045096622
hidden_5_shrinkage_0.05,5,0.05,indy_20161005_06,2016-10,pass,pass,0.029522663648714198,0.019933809985398013
hidden_5_shrinkage_0.05,5,0.05,indy_20161006_02,2016-10,pass,warning,0.028307595456216198,0.01942104096093289
hidden_5_shrinkage_0.05,5,0.05,indy_20161007_02,2016-10,pass,pass,0.05836445655819945,0.04390237448782032
hidden_5_shrinkage_0.05,5,0.05,indy_20161011_03,2016-10,pass,pass,0.13302172817607638,0.11135588668078365
hidden_5_shrinkage_0.05,5,0.05,indy_20161013_03,2016-10,abstain,abstain,2.0492384800744117,1.5757756079052514
hidden_5_shrinkage_0.05,5,0.05,indy_20161014_04,2016-10,pass,pass,0.035653737587083026,0.025877712491545583
hidden_5_shrinkage_0.05,5,0.05,indy_20161017_02,2016-10,pass,pass,0.05017653609670118,0.017187121839832415
hidden_5_shrinkage_0.05,5,0.05,indy_20161024_03,2016-10,pass,pass,0.07688172194839912,0.055432384685701115
hidden_5_shrinkage_0.05,5,0.05,indy_20161025_04,2016-10,pass,pass,0.016056972657283477,0.009291086814258191
hidden_5_shrinkage_0.05,5,0.05,indy_20161026_03,2016-10,pass,pass,0.059552856712095675,0.015012708767143414
hidden_5_shrinkage_0.05,5,0.05,indy_20161027_03,2016-10,pass,pass,0.04795060637147211,0.00901552131689296
hidden_5_shrinkage_0.10,5,0.1,indy_20161005_06,2016-10,pass,pass,0.028146374511338803,0.018240881683067457
