architecture_name,seed,session,held_month,windows,loss,r2_x,r2_y,r2_mean
baseline_64x64,45,indy_20160627_01,2016-06,1651,0.4253629446029663,0.5737509727478027,0.7143464088439941,0.6440486907958984
baseline_64x64,45,indy_20160630_01,2016-06,701,1.23651921749115,-0.15477824211120605,-0.10337698459625244,-0.12907761335372925
baseline_64x64,45,indy_20161005_06,2016-10,157,0.3413325548171997,0.6776882410049438,0.7578309774398804,0.7177596092224121
baseline_64x64,45,indy_20161006_02,2016-10,221,0.29991820454597473,0.665296196937561,0.789811372756958,0.7275537848472595
baseline_64x64,45,indy_20161007_02,2016-10,215,0.3554619252681732,0.5849316120147705,0.7900962829589844,0.6875139474868774
baseline_64x64,45,indy_20161011_03,2016-10,306,0.317307710647583,0.5854432582855225,0.6868423223495483,0.6361427903175354
baseline_64x64,45,indy_20161013_03,2016-10,228,1.2600059509277344,-0.04067182540893555,-0.05860185623168945,-0.0496368408203125
baseline_64x64,45,indy_20161014_04,2016-10,229,0.2989860773086548,0.6451214551925659,0.7328246831893921,0.688973069190979
baseline_64x64,45,indy_20161017_02,2016-10,217,0.526212215423584,0.6199002265930176,0.6432080268859863,0.631554126739502
baseline_64x64,45,indy_20161024_03,2016-10,206,0.7271517515182495,0.47001123428344727,0.45078742504119873,0.460399329662323
baseline_64x64,45,indy_20161025_04,2016-10,222,0.3323010504245758,0.7079327702522278,0.7966032028198242,0.7522679567337036
baseline_64x64,45,indy_20161026_03,2016-10,218,0.3763580620288849,0.6592352390289307,0.7600885629653931,0.7096619009971619
baseline_64x64,45,indy_20161027_03,2016-10,259,0.42815473675727844,0.6398603320121765,0.5897737741470337,0.6148170232772827
baseline_64x64,45,indy_20161206_02,2016-12,338,0.7446354031562805,0.31400084495544434,0.14183759689331055,0.22791922092437744
baseline_64x64,45,indy_20161207_02,2016-12,192,0.3639342188835144,0.6453933119773865,0.7802358865737915,0.7128145694732666
baseline_64x64,45,indy_20161212_02,2016-12,250,0.38717105984687805,0.6060717105865479,0.7068811655044556,0.6564764380455017
baseline_64x64,45,indy_20161220_02,2016-12,258,0.4589497148990631,0.5302486419677734,0.5786198377609253,0.5544342398643494
baseline_64x64,45,indy_20160407_02,2016-04,378,0.47605934739112854,0.08881807327270508,0.27914953231811523,0.18398380279541016
baseline_64x64,45,indy_20160411_01,2016-04,446,0.47444891929626465,0.38732433319091797,0.45017945766448975,0.41875189542770386
baseline_64x64,45,indy_20160411_02,2016-04,409,0.4995972514152527,0.3166384696960449,0.2865668535232544,0.30160266160964966
baseline_64x64,45,indy_20160418_01,2016-04,648,0.4713292121887207,0.3867802023887634,0.5036581754684448,0.4452191889286041
baseline_64x64,45,indy_20160419_01,2016-04,232,0.4824761748313904,0.3300092816352844,0.269439160823822,0.2997242212295532
baseline_64x64,45,indy_20160420_01,2016-04,746,0.4678860604763031,0.47527551651000977,0.5780004262924194,0.5266379714012146
