variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,evaluated_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,42,316,0.8512658227848101,0.851400072106718,0.8512285762939367,0.4405391898620684,"[[132, 27], [20, 137]]"
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,43,316,0.8449367088607594,0.8450306453551256,0.8449227317796228,0.4261779047885124,"[[132, 27], [22, 135]]"
cov_empirical__trial_on__f2_1__fusion_soft_vote,combination_ablation,empirical,1,1,soft_vote,44,316,0.8322784810126582,0.8323719104274326,0.8322633629453063,0.44844901871384335,"[[130, 29], [24, 133]]"
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,42,316,0.8417721518987342,0.8419260505548212,0.8417150871568824,0.3450761332626934,"[[130, 29], [21, 136]]"
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,43,316,0.8512658227848101,0.8513199535312262,0.8512643332832608,0.31300692980252615,"[[134, 25], [22, 135]]"
cov_ledoit_wolf__trial_off__f2_3__fusion_lda,combination_ablation,ledoit_wolf,0,3,lda,44,316,0.8512658227848101,0.8512798942434804,0.8512643332832608,0.32731804726475594,"[[135, 24], [23, 134]]"
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,42,316,0.8227848101265823,0.8228978888755358,0.8227564102564102,0.42523009744201246,"[[128, 31], [25, 132]]"
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,43,316,0.8512658227848101,0.8513199535312262,0.8512643332832608,0.41731907500041143,"[[134, 25], [22, 135]]"
cov_ledoit_wolf__trial_off__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,0,3,soft_vote,44,316,0.8386075949367089,0.8386612186035333,0.8386059786690702,0.4299845222531482,"[[132, 27], [24, 133]]"
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,42,316,0.8512658227848101,0.8513600128189721,0.8512524161967812,0.30781163739387046,"[[133, 26], [21, 136]]"
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,43,316,0.8607594936708861,0.8606737972198855,0.8607092766980564,0.2894329076681472,"[[139, 20], [24, 133]]"
cov_ledoit_wolf__trial_off__f2_2__fusion_lda,combination_ablation,ledoit_wolf,0,2,lda,44,316,0.8512658227848101,0.8513199535312262,0.8512643332832608,0.3197381477690155,"[[134, 25], [22, 135]]"
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,42,316,0.8291139240506329,0.8291471377638906,0.8291139240506329,0.4187508275519164,"[[131, 28], [26, 131]]"
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,43,316,0.8449367088607594,0.8449905860673798,0.8449351559761654,0.4100151288970543,"[[133, 26], [23, 134]]"
cov_ledoit_wolf__trial_off__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,0,2,soft_vote,44,316,0.8449367088607594,0.8449905860673798,0.8449351559761654,0.42374957226432797,"[[133, 26], [23, 134]]"
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,42,316,0.8670886075949367,0.8671233425469695,0.8670886075949367,0.33224781738880016,"[[137, 22], [20, 137]]"
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,43,316,0.879746835443038,0.8798621960501543,0.8797275641025641,0.2882347064504489,"[[137, 22], [16, 141]]"
cov_ledoit_wolf__trial_off__f2_1__fusion_lda,combination_ablation,ledoit_wolf,0,1,lda,44,316,0.8512658227848101,0.8513199535312262,0.8512643332832608,0.3330264921816596,"[[134, 25], [22, 135]]"
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,42,316,0.8386075949367089,0.8387012778912791,0.8385930473624645,0.4256404175284792,"[[131, 28], [23, 134]]"
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,43,316,0.8575949367088608,0.8576893802828186,0.8575821006139394,0.41143682085615213,"[[134, 25], [20, 137]]"
cov_ledoit_wolf__trial_off__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,0,1,soft_vote,44,316,0.8227848101265823,0.82285782958779,0.8227777110122982,0.43032048319960386,"[[129, 30], [26, 131]]"
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,42,316,0.8291139240506329,0.8292673156271282,0.8290522941294329,0.3536431490771842,"[[128, 31], [23, 134]]"
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,43,316,0.8481012658227848,0.8482554180186677,0.8480464836706072,0.3086944437873347,"[[131, 28], [20, 137]]"
cov_ledoit_wolf__trial_on__f2_3__fusion_lda,combination_ablation,ledoit_wolf,1,3,lda,44,316,0.8544303797468354,0.8545847854825142,0.8543778801843318,0.3292575864357393,"[[132, 27], [19, 138]]"
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,42,316,0.8259493670886076,0.8260425429635861,0.8259336785281481,0.42442441520174357,"[[129, 30], [25, 132]]"
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,43,316,0.8322784810126582,0.8323318511396868,0.8322768013619749,0.41397451223469484,"[[131, 28], [25, 132]]"
cov_ledoit_wolf__trial_on__f2_3__fusion_soft_vote,combination_ablation,ledoit_wolf,1,3,soft_vote,44,316,0.819620253164557,0.8198333533629772,0.819473816086194,0.435834498440964,"[[125, 34], [23, 134]]"
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,42,316,0.8449367088607594,0.8450306453551256,0.8449227317796228,0.3296553294963971,"[[132, 27], [22, 135]]"
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,43,316,0.8575949367088608,0.8576092617073269,0.857593510590356,0.29934029933086537,"[[136, 23], [22, 135]]"
cov_ledoit_wolf__trial_on__f2_2__fusion_lda,combination_ablation,ledoit_wolf,1,2,lda,44,316,0.8544303797468354,0.8545046669070224,0.8544245483315307,0.31797524836483354,"[[134, 25], [21, 136]]"
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,42,316,0.8417721518987342,0.8418058726915836,0.8417721518987342,0.41992525278616916,"[[133, 26], [24, 133]]"
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,43,316,0.8322784810126582,0.8322917918519409,0.8322768013619749,0.4140956115214018,"[[132, 27], [26, 131]]"
cov_ledoit_wolf__trial_on__f2_2__fusion_soft_vote,combination_ablation,ledoit_wolf,1,2,soft_vote,44,316,0.8227848101265823,0.8228177703000441,0.8227848101265823,0.43072952647245777,"[[130, 29], [27, 130]]"
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,42,316,0.8512658227848101,0.8513199535312262,0.8512643332832608,0.333525418975315,"[[134, 25], [22, 135]]"
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,43,316,0.870253164556962,0.8703080559227657,0.8702518652045466,0.28963265666132115,"[[137, 22], [19, 138]]"
cov_ledoit_wolf__trial_on__f2_1__fusion_lda,combination_ablation,ledoit_wolf,1,1,lda,44,316,0.870253164556962,0.8703881744982574,0.8702206729372639,0.33726263681097723,"[[135, 24], [17, 140]]"
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,42,316,0.8386075949367089,0.8386612186035333,0.8386059786690702,0.4280208657866175,"[[132, 27], [24, 133]]"
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,43,316,0.8512658227848101,0.8514401313944638,0.8511928021080686,0.4143859769291957,"[[131, 28], [19, 138]]"
cov_ledoit_wolf__trial_on__f2_1__fusion_soft_vote,combination_ablation,ledoit_wolf,1,1,soft_vote,44,316,0.8322784810126582,0.8323719104274326,0.8322633629453063,0.4414813617507686,"[[130, 29], [24, 133]]"
cov_oas__trial_off__f2_3__fusion_lda,combination_ablation,oas,0,3,lda,42,316,0.8386075949367089,0.8387813964667709,0.8385283597342872,0.34978477766325505,"[[129, 30], [21, 136]]"
cov_oas__trial_off__f2_3__fusion_lda,combination_ablation,oas,0,3,lda,43,316,0.8544303797468354,0.8544245483315307,0.8544245483315307,0.3110217846042716,"[[136, 23], [23, 134]]"
cov_oas__trial_off__f2_3__fusion_lda,combination_ablation,oas,0,3,lda,44,316,0.8512658227848101,0.8512798942434804,0.8512643332832608,0.331647498601125,"[[135, 24], [23, 134]]"
cov_oas__trial_off__f2_3__fusion_soft_vote,combination_ablation,oas,0,3,soft_vote,42,316,0.8354430379746836,0.8355966830909747,0.8353836906431578,0.42691954628584194,"[[129, 30], [22, 135]]"
cov_oas__trial_off__f2_3__fusion_soft_vote,combination_ablation,oas,0,3,soft_vote,43,316,0.8544303797468354,0.8545046669070224,0.8544245483315307,0.41554330849447785,"[[134, 25], [21, 136]]"
cov_oas__trial_off__f2_3__fusion_soft_vote,combination_ablation,oas,0,3,soft_vote,44,316,0.8386075949367089,0.8386612186035333,0.8386059786690702,0.43053337204470393,"[[132, 27], [24, 133]]"
cov_oas__trial_off__f2_2__fusion_lda,combination_ablation,oas,0,2,lda,42,316,0.8512658227848101,0.8513600128189721,0.8512524161967812,0.31479272403058084,"[[133, 26], [21, 136]]"
cov_oas__trial_off__f2_2__fusion_lda,combination_ablation,oas,0,2,lda,43,316,0.8575949367088608,0.857569202419581,0.8575821006139394,0.29067952141762005,"[[137, 22], [23, 134]]"
cov_oas__trial_off__f2_2__fusion_lda,combination_ablation,oas,0,2,lda,44,316,0.8544303797468354,0.8544646076192766,0.8544303797468354,0.32512164249907566,"[[135, 24], [22, 135]]"
cov_oas__trial_off__f2_2__fusion_soft_vote,combination_ablation,oas,0,2,soft_vote,42,316,0.819620253164557,0.8196330569242479,0.8196184467477843,0.4208597148290588,"[[130, 29], [28, 129]]"
cov_oas__trial_off__f2_2__fusion_soft_vote,combination_ablation,oas,0,2,soft_vote,43,316,0.8544303797468354,0.8544646076192766,0.8544303797468354,0.40828704533274146,"[[135, 24], [22, 135]]"
cov_oas__trial_off__f2_2__fusion_soft_vote,combination_ablation,oas,0,2,soft_vote,44,316,0.8291139240506329,0.8291471377638906,0.8291139240506329,0.425582486266733,"[[131, 28], [26, 131]]"
cov_oas__trial_off__f2_1__fusion_lda,combination_ablation,oas,0,1,lda,42,316,0.8639240506329114,0.8639386291711734,0.8639226878974513,0.3350539056191219,"[[137, 22], [21, 136]]"
cov_oas__trial_off__f2_1__fusion_lda,combination_ablation,oas,0,1,lda,43,316,0.879746835443038,0.8798621960501543,0.8797275641025641,0.2884158930073294,"[[137, 22], [16, 141]]"
cov_oas__trial_off__f2_1__fusion_lda,combination_ablation,oas,0,1,lda,44,316,0.8575949367088608,0.8576493209950727,0.857593510590356,0.33391670910437865,"[[135, 24], [21, 136]]"
cov_oas__trial_off__f2_1__fusion_soft_vote,combination_ablation,oas,0,1,soft_vote,42,316,0.8354430379746836,0.8355566238032288,0.8354166666666667,0.4273393415831579,"[[130, 29], [23, 134]]"
cov_oas__trial_off__f2_1__fusion_soft_vote,combination_ablation,oas,0,1,soft_vote,43,316,0.8607594936708861,0.8608340343708689,0.8607539157953772,0.4103132127294175,"[[135, 24], [20, 137]]"
cov_oas__trial_off__f2_1__fusion_soft_vote,combination_ablation,oas,0,1,soft_vote,44,316,0.8259493670886076,0.8260425429635861,0.8259336785281481,0.4305272492298884,"[[129, 30], [25, 132]]"
